787	[920.935, 1254.7, -306.992]
788	[0.00387955, -0.216139, -1.81976]
789	[-920.927, -1255.14, 303.352]
790	[-1841.86, -2510.05, 608.525]
791	[-2762.79, -3764.97, 913.697]
792	[0.0215091, -0.232006, -1.87249]
793	[0.0819551, -0.208923, -1.9112]
794	[0.142401, -0.185839, -1.94991]
795	[0.0177365, -0.220538, -1.90158]
796	[0.0249461, -0.211019, -1.89012]
797	[0.0321557, -0.201499, -1.87865]
798	[0.0393653, -0.19198, -1.86718]
799	[0.0465749, -0.182461, -1.85572]
800	[0.0537846, -0.172941, -1.84425]
801	[0.0609942, -0.163422, -1.83278]
802	[0.0682038, -0.153902, -1.82132]
803	[0.0754134, -0.144383, -1.80985]
804	[0.082623, -0.134863, -1.79839]
805	[0.0898327, -0.125344, -1.78692]
806	[0.0970423, -0.115825, -1.77545]
807	[0.104252, -0.106305, -1.76399]
808	[0.111462, -0.0967858, -1.75252]
809	[0.118671, -0.0872664, -1.74105]
810	[0.125881, -0.077747, -1.72959]
811	[0.13309, -0.0682276, -1.71812]
812	[0.1403, -0.0587081, -1.70666]
813	[0.14751, -0.0491887, -1.69519]
814	[0.154719, -0.0396693, -1.68372]
815	[0.161929, -0.0301499, -1.67226]
816	[0.169138, -0.0206305, -1.66079]
817	[0.176348, -0.011111, -1.64932]
818	[0.183558, -0.00159162, -1.63786]
819	[0.190767, 0.0079278, -1.62639]
820	[0.197977, 0.0174472, -1.61493]
821	[0.205187, 0.0269666, -1.60346]
822	[0.212396, 0.0364861, -1.59199]
823	[0.219606, 0.0460055, -1.58053]
824	[0.226815, 0.0555249, -1.56906]
825	[0.234025, 0.0650443, -1.55759]
826	[0.241235, 0.0745637, -1.54613]
827	[0.248444, 0.0840831, -1.53466]
828	[0.255654, 0.0936026, -1.5232]
829	[0.262864, 0.103122, -1.51173]
830	[0.270073, 0.112641, -1.50026]
831	[0.0734896, -0.205718, -1.73003]
832	[-0.123094, -0.524077, -1.9598]
833	[-0.319677, -0.842436, -2.18957]
834	[-0.516261, -1.16079, -2.41934]
835	[-0.712844, -1.47915, -2.64911]
836	[-0.909428, -1.79751, -2.87888]
837	[0.0675876, -0.200862, -1.63298]
838	[1.0446, 1.39579, -0.387082]
839	[2.02162, 2.99244, 0.858816]
840	[2.99863, 4.58909, 2.10471]
841	[3.97565, 6.18574, 3.35061]
842	[0.0605887, -0.191945, -1.70871]
843	[-3.85447, -6.56963, -6.76804]
844	[-7.76953, -12.9473, -11.8274]
845	[-11.6846, -19.325, -16.8867]
846	[-15.5997, -25.7027, -21.946]
847	[-19.5147, -32.0804, -27.0053]
848	[-23.4298, -38.4581, -32.0647]
849	[-27.3448, -44.8358, -37.124]
850	[-31.2599, -51.2134, -42.1833]
851	[-35.175, -57.5911, -47.2426]
852	[-39.09, -63.9688, -52.302]
853	[-43.0051, -70.3465, -57.3613]
854	[-46.9201, -76.7242, -62.4206]
855	[-50.8352, -83.1019, -67.4799]
856	[-54.7503, -89.4796, -72.5393]
857	[-58.6653, -95.8573, -77.5986]
858	[-62.5804, -102.235, -82.6579]
859	[-66.4955, -108.613, -87.7172]
860	[-70.4105, -114.99, -92.7766]
861	[-74.3256, -121.368, -97.8359]
862	[-78.2406, -127.746, -102.895]
863	[-82.1557, -134.123, -107.955]
864	[-86.0708, -140.501, -113.014]
865	[-89.9858, -146.879, -118.073]
866	[-93.9009, -153.256, -123.133]
867	[-97.8159, -159.634, -128.192]
868	[-101.731, -166.012, -133.251]
869	[-105.646, -172.39, -138.311]
870	[-109.561, -178.767, -143.37]
871	[-113.476, -185.145, -148.429]
872	[-117.391, -191.523, -153.488]
873	[-121.306, -197.9, -158.548]
874	[-125.221, -204.278, -163.607]
875	[-129.136, -210.656, -168.666]
876	[-133.051, -217.033, -173.726]
877	[-136.967, -223.411, -178.785]
878	[-140.882, -229.789, -183.844]
879	[-144.797, -236.166, -188.904]
880	[-148.712, -242.544, -193.963]
881	[-152.627, -248.922, -199.022]
882	[-156.542, -255.299, -204.082]
883	[-160.457, -261.677, -209.141]
884	[0.0360403, -0.162157, -1.34041]
885	[160.529, 261.353, 206.46]
886	[321.022, 522.868, 414.261]
887	[481.515, 784.383, 622.062]
888	[642.008, 1045.9, 829.862]
889	[802.501, 1307.41, 1037.66]
890	[962.994, 1568.93, 1245.46]
891	[1123.49, 1830.44, 1453.26]
892	[1283.98, 2091.96, 1661.06]
893	[1444.47, 2353.47, 1868.87]
894	[1604.97, 2614.99, 2076.67]
895	[1765.46, 2876.5, 2284.47]
896	[1925.95, 3138.02, 2492.27]
897	[2086.44, 3399.53, 2700.07]
898	[2246.94, 3661.05, 2907.87]
899	[2407.43, 3922.56, 3115.67]
900	[2567.92, 4184.08, 3323.47]
901	[0.0690941, -0.153399, -1.42708]
902	[-2567.79, -4184.38, -3326.32]
903	[-5135.64, -8368.61, -6651.22]
904	[-7703.49, -12552.8, -9976.12]
905	[-10271.3, -16737.1, -13301]
906	[-12839.2, -20921.3, -16625.9]
907	[-15407.1, -25105.5, -19950.8]
908	[-17974.9, -29289.8, -23275.7]
909	[-20542.8, -33474, -26600.6]
910	[-23110.6, -37658.2, -29925.5]
911	[-25678.5, -41842.5, -33250.4]
912	[-28246.3, -46026.7, -36575.3]
913	[-30814.2, -50210.9, -39900.2]
914	[-33382, -54395.2, -43225.1]
915	[-35949.9, -58579.4, -46550]
916	[-38517.7, -62763.6, -49874.9]
917	[-41085.6, -66947.8, -53199.8]
918	[-43653.5, -71132.1, -56524.7]
919	[-46221.3, -75316.3, -59849.6]
920	[-48789.2, -79500.5, -63174.5]
921	[-51357, -83684.8, -66499.4]
922	[-53924.9, -87869, -69824.3]
923	[-56492.7, -92053.2, -73149.2]
924	[-59060.6, -96237.5, -76474.1]
925	[0.083005, -0.249517, -1.80724]
926	[0.0973259, -0.213327, -1.74818]
927	[0.111647, -0.177136, -1.68912]
928	[0.125968, -0.140946, -1.63006]
929	[0.140289, -0.104756, -1.571]
930	[0.15461, -0.0685651, -1.51194]
931	[0.168931, -0.0323746, -1.45288]
932	[0.0626386, -0.206814, -1.69029]
933	[-0.0436536, -0.381254, -1.9277]
934	[-0.149946, -0.555693, -2.16511]
935	[-0.256238, -0.730133, -2.40252]
936	[-0.36253, -0.904573, -2.63993]
937	[-0.468823, -1.07901, -2.87734]
938	[-0.575115, -1.25345, -3.11475]
939	[-0.681407, -1.42789, -3.35216]
940	[-0.787699, -1.60233, -3.58957]
